x_cat,x_sub,BDFE_cat,BDFE_sub,d,Vbur_cat,Vbur_sub,gibbs
7.7575,3.184642742,94.90335738,84.72060577,0,30.4,27.8,11.42946714
7.7575,3.899030906,94.90335738,90.4087963,0,30.4,23.7,15.18825204
7.7575,3.645434304,94.90335738,88.18438693,0,30.4,24.3,14.4892059
7.7575,3.837429534,94.90335738,88.35205007,0,30.4,24.4,13.90373907
7.7575,3.722181133,94.90335738,87.20628395,0,30.4,22.7,13.0584831
7.7575,4.171343127,94.90335738,91.73287817,0,30.4,16.9,15.90612348
7.7575,3.04732844,94.90335738,84.39409475,0,30.4,24.2,9.77911584
7.7575,4.19141465,94.90335738,77.54337355,1,30.4,17.1,12.29480343
7.7575,3.754829248,94.90335738,73.36162432,1,30.4,19.8,10.72163586
7.7575,3.58604707,94.90335738,71.18619462,1,30.4,21.7,11.42444706
7.7575,3.976707017,94.90335738,81.48809782,1,30.4,17.2,12.30107853
7.7575,3.703891113,94.90335738,76.70791364,1,30.4,21.3,10.47125937
7.7575,3.493683469,94.90335738,75.8282149,1,30.4,25.1,12.18059661
7.7575,4.041689867,94.90335738,78.13100466,1,30.4,20.2,12.43850322
7.7575,5.651857686,94.90335738,86.45453074,1,30.4,20.5,18.0283623
7.7575,5.085227792,94.90335738,81.81033927,1,30.4,21.6,15.82705722
7.7575,5.625850268,94.90335738,86.24086233,1,30.4,20.5,18.01769463
7.7575,5.551866349,94.90335738,89.95222441,1,30.4,19,19.31224776
7.7575,5.920752414,94.90335738,87.72663658,1,30.4,17,20.10165534
7.7575,5.230767339,94.90335738,81.4035967,1,30.4,19.8,16.92143466
7.7575,4.766921325,94.90335738,76.55255534,1,30.4,22.2,14.94415065
7.7575,3.955155493,94.90335738,90.46133338,0,30.4,16.5,14.29232313
7.7575,3.444669357,94.90335738,86.55978738,0,30.4,19.2,11.77344177
7.7575,4.019285688,94.90335738,91.30799993,0,30.4,16.5,14.81419835
7.7575,3.987798016,94.90335738,91.36515668,0,30.4,16.8,14.96564412
7.7575,4.903126926,94.90335738,93.97948507,0,30.4,16.8,16.84137129
7.7575,3.806125186,94.90335738,87.67059805,0,30.4,20.5,12.96998474
7.7575,4.672073568,94.90335738,77.7617966,1,30.4,21.7,13.19090089
7.7575,3.24620029,94.90335738,72.52249097,1,30.4,23.4,8.682739153
7.7575,3.494217235,94.90335738,85.32874642,0,30.4,18,13.46432268
7.7575,3.662683012,94.90335738,82.91905092,0,30.4,17.9,12.19946019
7.7575,5.270059049,94.90335738,87.67119356,1,30.4,18.4,15.95741489
7.7575,3.692917599,94.90335738,84.17732142,0,30.4,19.7,12.35372223
7.7575,5.381574088,94.90335738,89.14133842,1,30.4,21.1,18.6832035
7.7575,3.137113869,94.90335738,83.00167516,0,30.4,21.6,11.52207005
7.7575,3.27751789,94.90335738,84.95683756,0,30.4,21.3,11.63184602
7.7575,3.46546839,94.90335738,87.0813053,0,30.4,23.6,11.89906927
7.7575,3.190733933,94.90335738,84.17618751,0,30.4,26.1,10.46040156
7.7575,3.062358711,94.90335738,84.65431875,0,30.4,31.7,12.45646318
7.7575,3.210851321,94.90335738,84.61294765,0,30.4,28.6,9.635710352
7.7575,2.989660735,94.90335738,83.56301486,0,30.4,24.1,9.559538796
7.7575,3.197187116,94.90335738,84.02057695,0,30.4,26.1,10.02591992
7.7575,3.196920444,94.90335738,82.30095043,0,30.4,21.5,10.10722952
7.7575,2.593296761,94.90335738,80.10470873,0,30.4,20.1,9.749683738
7.7575,3.666408253,94.90335738,83.5683807,0,30.4,19.5,11.88219301
7.7575,3.348376376,94.90335738,82.97688977,0,30.4,21.4,11.52669291
7.7575,3.184063058,94.90335738,80.98361555,0,30.4,21.6,11.06524402
7.7575,3.097713122,94.90335738,80.76416966,0,30.4,21.8,10.89485247
7.7575,3.296055656,94.90335738,82.12256816,0,30.4,21.4,10.50314504
